PROCESO;CÓDIGO;TITULO DOCUMENTO;TIPO;VERSIÓN;ESTADO;FECHA DE APROBACION;ÁREAS;MOTIVO DEL CAMBIO;TIEMPO DE RETENCIÓN;RESPONSABLE DE RETENCIÓN;LUGAR DE ALMACENAMIENTO FÍSICO;LUGAR DE ALMACENAMIENTO MAGNÉTICO;CONSERVACIÓN;DISPOSICIÓN FINAL;COPIAS CONTROLADAS; FECHA DE VIGENCIA;DIAS;SEÑAL ALERTA;OBSOLETO;ANULADO;EN ACTUALIZACIÓN
ABORDAMIENTO Y DESABORDAMIENTO;ABD-F001; RELACIÓN ENTREGA COBIJAS Y ALMOHADAS;F;1;OBSOLETO;2016-04-13;SERVICE DELIVERY;;;;;;;;2;2024-08-12;2999; ;X;;
ABORDAMIENTO Y DESABORDAMIENTO;ABD-F002;REPORTE DE INCIDENTES OPERACIONALES -RIO;F;1;ANULADO;2016-04-14;SERVICE DELIVERY;;;;;;;;2;2024-08-12;2998;alerta;;x;
ABORDAMIENTO Y DESABORDAMIENTO;ABD-F007;ORDEN DE TRABAJO DE LOGISTICA;F;2;OBSOLETO;2016-04-15;SERVICE DELIVERY;;;;;;;;1;2024-08-12;2997; ;x;;
ABORDAMIENTO Y DESABORDAMIENTO;ABD-F008;CONTROL SUMINISTRO HIELO VUELOS INTERNACIONALES;F;1;OBSOLETO;2016-04-16;SERVICE DELIVERY;;;;;;;;1;2024-08-12;2996; ;x;;
ABORDAMIENTO / DESABORDAMIENTO Y ENTREGAS;ABD-L001;LAYOUT DIAGRAMA AVION Y DE GALLEY N421;L;1;OBSOLETO;2016-04-17;KEY ACCOUNT;;;;;;;;1;2024-08-12;2995; ;x;;
 ABORDAMIENTO Y DESABORDAMIENTO;ABD-L100;LAYOUT ACERCAMIENTO Y RETIRADA AERONAVES FOCKER 50;L;2;OBSOLETO;2016-04-18;SERVICE DELIVERY;;;;;;;;;2024-08-12;2994; ;x;;
 ABORDAMIENTO Y DESABORDAMIENTO;ABD-L169;LAYOUT ACERCAMIENTO Y RETIRADA EMBRAER 190;L;5;ANULADO;2016-04-19;COMPLIANCE - RAMP SQUAD;;;;;;;;1;2024-08-12;2993;alerta;;X;
ABORDAMIENTO / DESABORDAMIENTO Y ENTREGAS;ABD-L375;LAYOUT POSICIONES DE ABORDAMIENTO NIVEL 3 VUELO 04 / 08 / 25  75 / 94 / 258 / 262 / 264 AVION A330_32 SYNERGY.;L;6;OBSOLETO;2016-04-20;KEY ACCOUNT;;;;;;;;1;2024-08-12;2992; ;x;;
ABORDAMIENTO / DESABORDAMIENTO Y ENTREGAS;ABD-L376; LAYOUT POSICIONES DE ABORDAMIENTO  NIVEL 3 VUELO AV  247-246 AVION A330_32 SYNERGY.;L;4;OBSOLETO;2016-04-21;KEY ACCOUNT;;;;;;;;1;2024-08-12;2991; ;x;;
ABORDAMIENTO / DESABORDAMIENTO Y ENTREGAS;ABD-L377;LAYOUT POSICIONES DE ABORDAMIENTO NIVEL 3 VUELO AV256-028-036 AVION A330_32 SYNERGY.;L;9;OBSOLETO;2016-04-22;KEY ACCOUNT;;;;;;;;1;2024-08-12;2990; ;x;;
